Name,URL,Description,Logo,Users,Active Users
m.cmx.im,https://m.cmx.im,长毛象中文站是一个开放、友好、有爱的社区。长毛象中文站主题为喵、汪、各种动物、社交、科技、编程及生活。我们欢迎友好、热情、乐于分享的朋友，无论你的兴趣点是什么。,https://m.cmx.im/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,38702,7163.0
mamot.fr,https://mamot.fr,"Mamot.fr est un serveur Mastodon francophone, géré par La Quadrature du Net.",https://mamot.fr/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,38464,2566.0
ohai.social,https://ohai.social,"ohai.social is a fast, secure and up-to-date Mastodon server where everyone is welcome. Join us!",https://files.ohai.social/site_uploads/files/000/000/001/@1x/f426426b67bfec4b.png,38170,3084.0
sfba.social,https://sfba.social,A Mastodon instance for the San Francisco Bay Area. Come on in and join us!,https://files.sfba.social/site_uploads/files/000/000/004/@1x/ec36c2ff9a63fe16.png,37856,4279.0
home.social,https://home.social,Hosted fully redundant in Germany. Committed to speed & availability. For people who want to be excellent to each other. English and German. Operated for the community by Rottmann Ventures GmbH.,https://assets.home.social/site_uploads/files/000/000/001/@1x/0eb4ae08f521c039.png,36702,3724.0
kolektiva.social,https://kolektiva.social,Kolektiva is an anti-colonial anarchist collective that offers federated social media to anarchist collectives and individuals in the fediverse. For the social movements and liberation!,https://kolektiva.social/system/site_uploads/files/000/000/013/@1x/d35f606af3f4fce8.png,35841,4774.0
mindly.social,https://mindly.social,"Mindly.Social is an English speaking, friendly Mastodon instance created for people who want to use their brains and their hearts to make social networking more social. 🧠💖",https://a.mindlycdn.click/site_uploads/files/000/000/011/@1x/7634529c1606a2c9.png,35413,2594.0
mstdn.ca,https://mstdn.ca,"A community for Canadians, First nations, Metis, and Inuit Peoples of the great white north.",https://cdn.mastdn.ca/site_uploads/files/000/000/001/@1x/06e5668675beacbd.png,34191,4375.0
kids.0px.io,https://kids.0px.io,Mastodonクライアントが使えたりするMisskeyインスタンス。寄付者限定などケチなことはせずに、常用ユーザー(一定条件で自動付与)なら誰でも自由に絵文字が追加できます。,https://http.cat/404,32449,
mastodon.art,https://mastodon.art,"Mastodon.ART — Your friendly home on the fediverse for all things creative, all on a platform that is community-owned and ad-free. NO CRYPTOART / NFTs ALLOWED.",https://cdn.masto.host/mastodonart/site_uploads/files/000/000/001/@1x/1153ccfc0c157a6b.png,31515,4380.0
loforo.com,https://loforo.com,"Loforo.com is a fast, friendly and free microblog service that supports ActivityPub and Mastodon.",https://loforo.com/images/Moon_Lake_-_Jeevan_for_Loforo-scaled.jpg,30101,2308.0
fedibird.com,https://fedibird.com,様々な目的に使える、日本の汎用マストドンサーバーです。安定した利用環境と、多数の独自機能を提供しています。,https://s3.fedibird.com/site_uploads/files/000/000/001/original/fedibird_hero_image.png,29710,7563.0
toot.community,https://toot.community,"We're a generic, free-for-all Mastodon instance hosted in The Netherlands. We're welcoming to all that seek a place of enjoyment online while being excellent to each other.",https://static.toot.community/site_uploads/files/000/000/005/@1x/7a950b00f6c1a5b6.png,29708,3172.0
social.vivaldi.net,https://social.vivaldi.net,Vivaldi Social is part of the Mastodon network and is hosted in Iceland by the makers of Vivaldi Browser. Everyone is welcome to join.,https://social-cdn.vivaldi.net/system/site_uploads/files/000/000/004/@1x/902e27b9949777ad.png,29618,3697.0
vivaldi.social,https://vivaldi.social,Vivaldi Social is part of the Mastodon network and is hosted in Iceland by the makers of Vivaldi Browser. Everyone is welcome to join.,https://social-cdn.vivaldi.net/system/site_uploads/files/000/000/004/@1x/902e27b9949777ad.png,29618,3697.0
poa.st,https://poa.st,,https://i.poastcdn.org/940bbc3d99f7acf0afb5279088cd877f9234412ebf46c42efa8eaa6889ccbf30.png,29329,
alive.bar,https://alive.bar,"你好，欢迎使用 alive.bar 社交媒体实例。
alive.bar 仅仅是一个服务器位于美国的网站，它使用了「长毛象（Mastodon）」服务。",https://alive.bar/packs/media/images/preview-5df98290371ead9a70bc3cd4733bbfa7.jpg,29256,3612.0
mastodon.scot,https://mastodon.scot,A server intended for (but not limited to) users in Scotland or who identify as Scottish.,https://media.mastodon.scot/mastodon-scot-public/site_uploads/files/000/000/003/@1x/1406bfefcf942a8d.png,28483,3573.0
meatbag.app,https://meatbag.app,,https://meatbag.app/instance/thumbnail.png,27057,
mastodon.xyz,https://mastodon.xyz,"A Mastodon instance, open to everyone, but mainly English and French speaking.",https://mastodon.xyz/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,26601,1280.0
qoto.org,https://qoto.org,"QOTO: Question Others to Teach Ourselves<br/>
An inclusive, <a href=""https://en.wikipedia.org/wiki/Academic_freedom"">Academic Freedom</a>, instance<br/>
All cultures welcome.<br/>
Hate speech and harassment strictly forbidden.<br/>",https://storage.gra.cloud.ovh.net/v1/AUTH_011f6e315d3744d498d93f6fa0d9b5ee/qotoorg/site_uploads/files/000/000/001/original/colored-qoto-thumbnail.png,26064,1582.0
ioc.exchange,https://ioc.exchange,"INDICATORS OF COMPROMISE (IOC)
InfoSec Community within the Fediverse. Newbies, experts, gurus - Everyone is Welcome! Instance is supposed to be fast and secure.",https://files.ioc.exchange/site_uploads/files/000/000/003/@1x/b7ddcc38c2aef237.png,25886,2213.0
mastodon.au,https://mastodon.au,No description because we couldn't make up our minds and went fishing instead 😆,https://o.mastodon.au/site_uploads/files/000/000/034/@1x/630b2451a29f86c6.png,25848,2020.0
